AcctNum	VoterID	ElectionID	OfficeCode	OfficeDesc	Juris1num	Juris2num	StatusCode	StatusDesc	PartyCode	PartyDesc	NameLast	NameFirst	NameMiddle	SuppressAddress	Addr1	Addr2	City	State	Zip	County	Phone	TrsNameLast	TrsNameFirst	TrsNameMiddle	Email
REDACTED	REDACTED	20261103-GEN	GOV	Governor			QUA	Qualified	NPA	No Party Affiliation (Partisan)	Abrams	Dean	Ocean	N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			QUA	Qualified	WRI	Write-In	Anderson	Kathy		N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			QUA	Qualified	NPA	No Party Affiliation (Partisan)	Burkett	Charles		N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			DEF	Defeated	DEM	Florida Democratic Party	Castillo-Bach	Evelyn		N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			DEF	Defeated	REP	Republican Party of Florida	Collins	Jay		N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			QUA	Qualified	NPA	No Party Affiliation (Partisan)	Datto	Jeffrey	Peter "Dr. Jeff"	N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			QUA	Qualified	NPA	No Party Affiliation (Partisan)	Dimanche	Moliere	"Moe"	N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			QUA	Qualified	REP	Republican Party of Florida	Donalds	Byron		N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			DEF	Defeated	DEM	Florida Democratic Party	Fernandez	Thomas	Eloy	N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			DEF	Defeated	REP	Republican Party of Florida	Fishback	James		N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			DEF	Defeated	DEM	Florida Democratic Party	Foster	Dayna	Marie	N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			DEF	Defeated	REP	Republican Party of Florida	Holcomb	Jim		N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			QUA	Qualified	LPF	Libertarian Party of Florida	Jewett	Scott	Eckhard	N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			QUA	Qualified	DEM	Florida Democratic Party	Jolly	David		N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			DEF	Defeated	DEM	Florida Democratic Party	Joseph	Dotie		N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			DEF	Defeated	REP	Republican Party of Florida	McCaffrey	Arthur	Joseph	N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			QUA	Qualified	WRI	Write-In	Morris	Erik		N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			DEF	Defeated	REP	Republican Party of Florida	Nokovich	Daniel		N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			DEF	Defeated	DEM	Florida Democratic Party	Norman	Stephann		N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			DEF	Defeated	REP	Republican Party of Florida	Renner	Paul		N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
REDACTED	REDACTED	20261103-GEN	GOV	Governor			DEF	Defeated	REP	Republican Party of Florida	Rodriguez	Rachel		N	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED	REDACTED
